Species
Antilocapra americana
Addax nasomaculatus
Bos gaurus
Bos mutus
Bos sauveli
Bubalus depressicornis
Bubalus mindorensis
Bubalus quarlesi
Capra falconeri
Capricornis milneedwardsii
Capricornis rubidus
Capricornis sumatraensis
Capricornis thar
Cephalophus jentinki
Gazella cuvieri
Gazella leptoceros
Hippotragus niger variani
Naemorhedus baileyi
Naemorhedus caudatus
Naemorhedus goral
Naemorhedus griseus
Nanger dama
Oryx dammah
Oryx leucoryx
Ovis gmelini
Ovis hodgsoni
Ovis nigrimontana
Ovis vignei
Pantholops hodgsonii
Pseudoryx nghetinhensis
Vicugna vicugna
Axis calamianensis
Axis kuhlii
Axis porcinus annamiticus
Blastocerus dichotomus
Cervus elaphus hanglu
Dama dama mesopotamica
Hippocamelus
Muntiacus crinifrons
Muntiacus vuquangensis
Ozotoceros bezoarticus
Pudu puda
Rucervus duvaucelii
Rucervus eldii
Moschus
Babyrousa babyrussa
Babyrousa bolabatuensis
Babyrousa celebensis
Babyrousa togeanensis
Sus salvanius
Catagonus wagneri
Ailurus fulgens
Canis lupus
Speothos venaticus
Acinonyx jubatus
Caracal caracal
Catopuma temminckii
Felis nigripes
Herpailurus yagouaroundi
Leopardus geoffroyi
Leopardus guttulus
Leopardus jacobita
Leopardus pardalis
Leopardus tigrinus
Leopardus wiedii
Lynx pardinus
Neofelis diardi
Neofelis nebulosa
Panthera leo
Panthera onca
Panthera pardus
Panthera tigris
Panthera uncia
Pardofelis marmorata
Prionailurus bengalensis bengalensis
Prionailurus planiceps
Prionailurus rubiginosus
Puma concolor
Aonyx capensis microdon
Aonyx cinereus
Enhydra lutris nereis
Lontra felina
Lontra longicaudis
Lontra provocax
Lutra lutra
Lutra nippon
Lutrogale perspicillata
Pteronura brasiliensis
Mustela nigripes
Arctocephalus townsendi
Monachus
Ailuropoda melanoleuca
Helarctos malayanus
Melursus ursinus
Tremarctos ornatus
Ursus arctos
Ursus arctos isabellinus
Ursus thibetanus
Prionodon pardicolor
Balaena mysticetus
Eubalaena
Balaenoptera acutorostrata
Balaenoptera bonaerensis
Balaenoptera borealis
Balaenoptera edeni
Balaenoptera musculus
Balaenoptera omurai
Balaenoptera physalus
Megaptera novaeangliae
Orcaella brevirostris
Orcaella heinsohni
Sotalia
Sousa
Eschrichtius robustus
Lipotes vexillifer
Caperea marginata
Neophocaena asiaeorientalis
Neophocaena phocaenoides
Phocoena sinus
Physeter macrocephalus
Platanista
Berardius
Hyperoodon
Acerodon jubatus
Pteropus insularis
Pteropus loochoensis
